Customer_ID,Event_Timestamp,Event_Type,Event_Value
850,01-01-2024 00:00,sensor_trigger,4
19,01-01-2024 00:00,email_open,1
951,01-01-2024 00:00,sensor_trigger,3
324,01-01-2024 00:00,sensor_trigger,1
782,01-01-2024 00:00,Returns,2
137,01-01-2024 00:00,Complaints,4
161,01-01-2024 00:00,sensor_trigger,7
891,01-01-2024 00:00,Returns,2
357,01-01-2024 00:00,Complaints,4
415,01-01-2024 00:00,login,3
851,01-01-2024 00:00,Returns,2
380,01-01-2024 00:00,Returns,1
428,01-01-2024 00:00,Complaints,6
660,01-01-2024 00:00,Complaints,2
171,01-01-2024 00:00,Complaints,4
305,01-01-2024 00:00,Complaints,3
973,01-01-2024 00:00,sensor_trigger,7
251,01-01-2024 00:00,login,1
788,01-01-2024 00:00,sensor_trigger,8
808,01-01-2024 00:00,email_open,3
597,01-01-2024 00:00,email_open,2
303,01-01-2024 00:00,Complaints,7
159,01-01-2024 00:00,email_open,2
831,01-01-2024 00:00,Complaints,3
647,01-01-2024 00:00,Returns,2
29,01-01-2024 00:00,email_open,4
375,01-01-2024 00:00,email_open,2
282,01-01-2024 00:00,email_open,4
489,01-01-2024 00:00,sensor_trigger,8
80,01-01-2024 00:00,Returns,2
156,01-01-2024 00:00,Complaints,2
437,01-01-2024 00:00,email_open,1
763,01-01-2024 00:00,sensor_trigger,3
421,01-01-2024 00:00,sensor_trigger,6
450,01-01-2024 00:00,login,2
1,01-01-2024 00:00,email_open,2
340,02-01-2024 00:00,sensor_trigger,1
510,02-01-2024 00:00,sensor_trigger,7
450,02-01-2024 00:00,sensor_trigger,3
791,02-01-2024 00:00,login,1
370,02-01-2024 00:00,sensor_trigger,8
198,02-01-2024 00:00,sensor_trigger,6
959,02-01-2024 00:00,sensor_trigger,9
174,02-01-2024 00:00,Returns,2
719,02-01-2024 00:00,login,2
4,02-01-2024 00:00,login,2
476,02-01-2024 00:00,Returns,2
377,02-01-2024 00:00,login,4
257,02-01-2024 00:00,email_open,4
384,02-01-2024 00:00,email_open,3
885,02-01-2024 00:00,login,3
339,02-01-2024 00:00,login,2
817,02-01-2024 00:00,Returns,2
966,03-01-2024 00:00,email_open,2
217,03-01-2024 00:00,sensor_trigger,2
27,03-01-2024 00:00,sensor_trigger,9
870,03-01-2024 00:00,Complaints,7
123,03-01-2024 00:00,sensor_trigger,6
501,03-01-2024 00:00,login,1
844,03-01-2024 00:00,Returns,2
98,03-01-2024 00:00,Complaints,1
360,03-01-2024 00:00,sensor_trigger,6
569,03-01-2024 00:00,login,1
568,03-01-2024 00:00,sensor_trigger,4
238,03-01-2024 00:00,login,4
57,03-01-2024 00:00,Returns,2
863,03-01-2024 00:00,login,3
736,03-01-2024 00:00,email_open,4
365,03-01-2024 00:00,Complaints,5
228,03-01-2024 00:00,sensor_trigger,5
17,03-01-2024 00:00,login,2
717,03-01-2024 00:00,Complaints,6
860,03-01-2024 00:00,Returns,2
163,03-01-2024 00:00,login,3
489,03-01-2024 00:00,login,3
106,03-01-2024 00:00,email_open,4
729,03-01-2024 00:00,email_open,3
560,03-01-2024 00:00,Returns,2
895,03-01-2024 00:00,sensor_trigger,4
627,03-01-2024 00:00,login,4
509,03-01-2024 00:00,email_open,2
748,03-01-2024 00:00,email_open,1
809,03-01-2024 00:00,sensor_trigger,9
212,03-01-2024 00:00,login,2
527,03-01-2024 00:00,email_open,4
523,04-01-2024 00:00,Complaints,7
907,04-01-2024 00:00,Complaints,3
32,04-01-2024 00:00,email_open,2
678,04-01-2024 00:00,login,4
833,04-01-2024 00:00,sensor_trigger,5
483,04-01-2024 00:00,sensor_trigger,2
173,04-01-2024 00:00,login,2
336,04-01-2024 00:00,email_open,1
665,04-01-2024 00:00,email_open,1
943,04-01-2024 00:00,Complaints,6
889,04-01-2024 00:00,Returns,2
454,04-01-2024 00:00,email_open,4
353,04-01-2024 00:00,sensor_trigger,9
187,04-01-2024 00:00,login,4
144,04-01-2024 00:00,Returns,1
809,04-01-2024 00:00,sensor_trigger,6
843,04-01-2024 00:00,email_open,3
832,04-01-2024 00:00,Returns,2
375,04-01-2024 00:00,Returns,1
157,04-01-2024 00:00,email_open,2
424,04-01-2024 00:00,Complaints,4
311,04-01-2024 00:00,login,1
371,04-01-2024 00:00,login,3
443,04-01-2024 00:00,Returns,2
865,04-01-2024 00:00,email_open,1
797,04-01-2024 00:00,sensor_trigger,6
946,05-01-2024 00:00,email_open,3
3,05-01-2024 00:00,email_open,3
255,05-01-2024 00:00,Returns,2
356,05-01-2024 00:00,Complaints,5
406,05-01-2024 00:00,email_open,4
694,05-01-2024 00:00,login,4
825,05-01-2024 00:00,Complaints,6
243,05-01-2024 00:00,login,3
